#Model,Input_size,ACET,input_width,input_size,nb_params_conv,nb_params_bn,nb_params_fc,flops,nb_layers,nb_conv_layers,nb_bn_layers,nb_fc_layers,sum_activations,weighted_sum_neurons
DenseNet-121,"(90, 90, 3)",9.11961646,90,24300,6870208,167296,1025000,877356283,429,120,121,1,7540468,430473920
DenseNet-121,"(512, 512, 3)",35.3015685,512,786432,6870208,167296,1025000,29634818875,429,120,121,1,260723028,14802722816
DenseNet-121,"(720, 720, 3)",65.42725961,720,1555200,6870208,167296,1025000,58491515707,429,120,121,1,514520084,29224570880
DenseNet-161,"(512, 512, 3)",88.41993427,512,786432,26252064,439872,2209000,81974182629,566,160,161,1,477005824,185066323968
DenseNet-161,"(720, 720, 3)",167.76422739,720,1555200,26252064,439872,2209000,161495539329,566,160,161,1,940218784,596847175680
DenseNet-169,"(90, 90, 3)",15.07065337,90,24300,12326080,316800,1665000,1008296331,597,168,169,1,8654452,489752256
DenseNet-169,"(512, 512, 3)",44.82991888,512,786432,12326080,316800,1665000,35134922187,597,168,169,1,313840596,17546437632
DenseNet-169,"(720, 720, 3)",81.37559525,720,1555200,12326080,316800,1665000,69190033355,597,168,169,1,617747348,34567361536
DenseNet-201,"(90, 90, 3)",20.60151958,90,24300,17863872,458112,1921000,1253427179,709,200,201,1,10791284,606432960
DenseNet-201,"(512, 512, 3)",58.36417508,512,786432,17863872,458112,1921000,44878311467,709,200,201,1,403690708,22412086272
DenseNet-201,"(720, 720, 3)",105.28606193,720,1555200,17863872,458112,1921000,88399275563,709,200,201,1,794865300,44165790720
DenseNet-264,"(512, 512, 3)",83.05531579,512,786432,30250176,797056,2689000,61579653241,930,264,265,1,545679360,206196178944
DenseNet-264,"(720, 720, 3)",148.49630885,720,1555200,30250176,797056,2689000,120941908501,930,264,265,1,1072355872,688776671232
DPN-92,"(90, 90, 3)",32.27812434,90,24300,34854176,227456,2688000,2512305382,2370,1025,95,1,16712468,1260776736
DPN-92,"(512, 512, 3)",112.40874851,512,786432,34854176,227456,2688000,68111965926,2370,1025,95,1,489336296,36259431424
DPN-92,"(720, 720, 3)",198.30271313,720,1555200,34854176,227456,2688000,135135105382,2370,1025,95,1,969172744,72030707328
Inception-v1,"(512, 512, 3)",16.95438675,512,786432,6611369,21840,0,15935779959,199,58,57,0,65717516,9845215232
Inception-v1,"(720, 720, 3)",31.91282307,720,1555200,6611369,21840,0,31799360741,199,58,57,0,130675003,19648090496
Inception-v3,"(90, 90, 3)",15.15318444,90,24300,21751136,51648,2049000,541790891,313,94,94,1,1771156,359173632
Inception-v3,"(512, 512, 3)",43.43649986,512,786432,21751136,51648,2049000,35166469483,313,94,94,1,98847864,29122526560
Inception-v3,"(720, 720, 3)",61.72306137,720,1555200,21751136,51648,2049000,72566819595,313,94,94,1,201548344,60050050912
Xception,"(90, 90, 3)",10.52784539,90,24300,20752424,109056,2049000,1624974667,134,40,40,1,5636556,3831741696
Xception,"(512, 512, 3)",57.18178202,512,786432,20752424,109056,2049000,47894949147,134,40,40,1,182907144,112853453664
Xception,"(720, 720, 3)",108.48667249,720,1555200,20752424,109056,2049000,95025715947,134,40,40,1,363070504,223813389088
InceptionResNetV2,"(90, 90, 3)",32.21994659,90,24300,54245920,90816,1537000,1107203133,782,244,204,1,3613716,568090112
InceptionResNetV2,"(512, 512, 3)",98.90864667,512,786432,54245920,90816,1537000,81315173309,782,244,204,1,248686136,48148419936
InceptionResNetV2,"(720, 720, 3)",154.40038445,720,1555200,54245920,90816,1537000,168184119037,782,244,204,1,510826104,99490711392
MobileNet0.25-v1,"(90, 90, 3)",0.60978939,90,24300,464600,10944,0,12383509,93,28,27,0,677007,39705944
MobileNet0.25-v1,"(512, 512, 3)",2.88767379,512,786432,464600,10944,0,427575317,93,28,27,0,23337899,1587275776
MobileNet0.25-v1,"(720, 720, 3)",4.93060163,720,1555200,464600,10944,0,839585429,93,28,27,0,46067403,3120057856
